SpotZoned?,jurisdiction,permitID,permitType,applicant,mapTaxLot,situsAddress,status,submitDate,request
Yes,Deschutes County,247-24-000098-ZC,Zone Change,BCL LLC,1712360000300,"21875 NEFF RD BEND, OR 97701",Pending,2/20/24,Zone Change (EFU-TRB to MUA10)
Yes,Deschutes County,247-24-000098-ZC,Zone Change,BCL LLC,1712360000400,"21875 NEFF RD BEND, OR 97701",Pending,2/20/24,Zone Change (EFU-TRB to MUA10)
Yes,Deschutes County,247-24-000098-ZC,Zone Change,BCL LLC,1712360000900,"21875 NEFF RD BEND, OR 97701",Pending,2/20/24,Zone Change (EFU-TRB to MUA10)
Yes,Deschutes County,247-24-000098-ZC,Zone Change,BCL LLC,1712360001000,"21875 NEFF RD BEND, OR 97701",Pending,2/20/24,Zone Change (EFU-TRB to MUA10)
Yes,Deschutes County,247-23-000544-ZC,Zone Change,"Aycock, Scott",1513000000103,"2525 E HWY 126 REDMOND, OR 97756",Closed,6/30/23,Zone Change - CORE 3
Yes,Deschutes County,247-23-000416-ZC,Zone Change,STATE OF OREGON,1812110000100,"61200 27TH ST BEND, OR 97702",Closed,5/26/23,Bend UGB Expansion - Zone Change (MUA10 to UA)
Yes,Deschutes County,247-23-000211-ZC,Zone Change,GROVES FAMILY REVOCABLE TRUST,1612330000800,"64430 HUNNELL RD BEND, OR 97703",Closed,3/24/23,Zone Change (EFU to MUA10)
Yes,Deschutes County,247-22-000793-ZC,Zone Change,"GRIFFIN, KEVIN J",181201D000200,"21900 RASTOVICH RD BEND, OR 97702",Closed,9/30/22,Zone Change from EFU to MUA10
Yes,Deschutes County,247-22-000573-ZC,Zone Change,Mark Rubbert,161226B000101,"64994 DESCHUTES MARKET RD BEND, OR 97701",Closed,7/13/22,"Zone Change from Exclusive Farm Use to Rural Industrial - TL 101, 700, 800"
Yes,Deschutes County,247-22-000573-ZC,Zone Change,Mark Rubbert,161226B000700,"64994 DESCHUTES MARKET RD BEND, OR 97701",Closed,7/13/22,"Zone Change from Exclusive Farm Use to Rural Industrial - TL 101, 700, 800"
Yes,Deschutes County,247-22-000573-ZC,Zone Change,Mark Rubbert,161226B000800,"64994 DESCHUTES MARKET RD BEND, OR 97701",Closed,7/13/22,"Zone Change from Exclusive Farm Use to Rural Industrial - TL 101, 700, 800"
Yes,Deschutes County,247-22-000436-ZC,Zone Change,"Destiny Court Properties, LLC",1712070000100,"19975 DESTINY CT BEND, OR 97703",Closed,5/27/22,Zone Change/Plan Amendment (w/o goal exception) - Destiny Court Properties (EFU to MUA10)
Yes,Deschutes County,247-22-000436-ZC,Zone Change,"Destiny Court Properties, LLC",171208B006201,"19975 DESTINY CT BEND, OR 97703",Closed,5/27/22,Zone Change/Plan Amendment (w/o goal exception) - Destiny Court Properties (EFU to MUA10)
Yes,Deschutes County,247-22-000354-ZC,Zone Change,"Marken, Harold",1812020000201,"21495 BEAR CREEK RD BEND, OR 97701",Closed,5/2/22,Zone Change - Marken (EFU to MUA10)
Yes,Deschutes County,247-22-000354-ZC,Zone Change,"Marken, Harold",1812020000203,"21495 BEAR CREEK RD BEND, OR 97701",Closed,5/2/22,Zone Change - Marken (EFU to MUA10)
Yes,Deschutes County,247-22-000313-ZC,Zone Change,TE AMO DESPACIO LLC ET AL,1712350001200,"62385 HAMBY RD BEND, OR 97701",Closed,4/15/22,Zone Change - EFU-TRB to MUA-10
Yes,Deschutes County,247-22-000313-ZC,Zone Change,TE AMO DESPACIO LLC ET AL,1712350001201,"62385 HAMBY RD BEND, OR 97701",Closed,4/15/22,Zone Change - EFU-TRB to MUA-10
Yes,Deschutes County,247-21-001044-ZC,Zone Change,710 Properties LLC,1412210000300,"10315 NW COYNER AVE REDMOND, OR 97756",Closed,12/2/21,Zone Change from EFU to RR10
Yes,Deschutes County,247-21-001044-ZC,Zone Change,710 Properties LLC,1412210000400,"10315 NW COYNER AVE REDMOND, OR 97756",Closed,12/2/21,Zone Change from EFU to RR10
Yes,Deschutes County,247-21-001044-ZC,Zone Change,710 Properties LLC,1412210000500,"10315 NW COYNER AVE REDMOND, OR 97756",Closed,12/2/21,Zone Change from EFU to RR10
Yes,Deschutes County,247-21-001044-ZC,Zone Change,710 Properties LLC,1412210000600,"10315 NW COYNER AVE REDMOND, OR 97756",Closed,12/2/21,Zone Change from EFU to RR10
Yes,Deschutes County,247-21-001044-ZC,Zone Change,710 Properties LLC,1412210000700,"10315 NW COYNER AVE REDMOND, OR 97756",Closed,12/2/21,Zone Change from EFU to RR10
Yes,Deschutes County,247-21-001044-ZC,Zone Change,710 Properties LLC,1412280000100,"10315 NW COYNER AVE REDMOND, OR 97756",Closed,12/2/21,Zone Change from EFU to RR10
Yes,Deschutes County,247-21-001044-ZC,Zone Change,710 Properties LLC,1412280000200,"10315 NW COYNER AVE REDMOND, OR 97756",Closed,12/2/21,Zone Change from EFU to RR10
Yes,Deschutes County,247-21-001044-ZC,Zone Change,710 Properties LLC,1412280000300,"10315 NW COYNER AVE REDMOND, OR 97756",Closed,12/2/21,Zone Change from EFU to RR10
Yes,Deschutes County,247-21-001044-ZC,Zone Change,710 Properties LLC,141228D000101,"10315 NW COYNER AVE REDMOND, OR 97756",Closed,12/2/21,Zone Change from EFU to RR10
Maybe,Deschutes County,247-21-000882-ZC,Zone Change,LBNW LLC (Jake Hermeling),1612230000301,"65301 N HWY 97 BEND, OR 97701",Closed,9/30/21,Zone Change
Maybe,Deschutes County,247-21-000882-ZC,Zone Change,LBNW LLC (Jake Hermeling),1612230000305,"65301 N HWY 97 BEND, OR 97701",Closed,9/30/21,Zone Change
Maybe,Deschutes County,247-21-000882-ZC,Zone Change,LBNW LLC (Jake Hermeling),1612230000500,"65301 N HWY 97 BEND, OR 97701",Closed,9/30/21,Zone Change
Maybe,Deschutes County,247-21-000617-ZC,Zone Change,DON SWISHER TRUST ETAL,171318C000100,"63350 ABBEY RD BEND, OR 97701",Closed,6/18/21,Zone Change- TL 100 and 600
Maybe,Deschutes County,247-20-000439-ZC,Zone Change,"ACETI,ANTHONY J",161226C000201,"21235 TUMALO PL BEND, OR 97703",Closed,6/30/20,Plan Amendment without Goal Exception and Zone Change
Maybe,Deschutes County,247-20-000439-ZC,Zone Change,"ACETI,ANTHONY J",161227D000104,"21235 TUMALO PL BEND, OR 97703",Closed,6/30/20,Plan Amendment without Goal Exception and Zone Change
Yes,Deschutes County,247-18-000486-ZC,Zone Change,EASTSIDE BEND LLC,1712350001400,"21588 HWY 20 BEND, OR 97702",Closed,6/14/18,Plan Amendment and Zone Change (EFU to MUA-10)
Yes,Deschutes County,247-18-000486-ZC,Zone Change,EASTSIDE BEND LLC,1712350001600,"21588 HWY 20 BEND, OR 97702",Closed,6/14/18,Plan Amendment and Zone Change (EFU to MUA-10)
Yes,Deschutes County,247-18-000486-ZC,Zone Change,EASTSIDE BEND LLC,1712350001601,"21588 HWY 20 BEND, OR 97702",Closed,6/14/18,Plan Amendment and Zone Change (EFU to MUA-10)
Yes,Deschutes County,247-17-000727-ZC,Zone Change,State of Oregon,1812110000200,"21425 STEVENS RD BEND, OR 97702",Closed,8/28/17,Zone Change: EFU to MUA-10
Yes,Deschutes County,247-17-000727-ZC,Zone Change,State of Oregon,1812000001800,"21425 STEVENS RD BEND, OR 97702",Closed,8/28/17,Zone Change: EFU to MUA-10
Yes,Deschutes County,247-16-000317-ZC,Zone Change,PORTER KELLY BURNS LANDHOLDINGS LLC,1712350001500,"21455 HWY 20 BEND, OR 97701",Closed,6/2/16,Zone change request EFU-TRB to MUA-10
Yes,Deschutes County,247-14-000456-ZC,Zone Change,Anthony J. Aceti,161226C000201,"21235 TUMALO PL BEND, OR 97701",Closed,12/31/14,Plan Amendment and Zone Change
Yes,Deschutes County,247-14-000456-ZC,Zone Change,Anthony J. Aceti,161227D000104,"21235 TUMALO PL BEND, OR 97701",Closed,12/31/14,Plan Amendment and Zone Change
No,Deschutes County,247-ZC142-PL,Zone Change,FRANCES RAMSEY TRUST; C/O SHARON SMITH,161226C000107,"64970 DESCHUTES PLEASANT RIDGE RD BEND, 97701",P,4/15/14,ZONE CHANGE FROM EXCLUSIVE FARM USE TO RURAL INDUSTRIAL
Yes,Deschutes County,247-ZC131-PL,Zone Change,NNP IV-NCR LLC,1712240000206,"21831 BUTLER MARKET RD BEND, 97701",P,1/29/13,ZONE CHANGE FROM EXCLUSIVE FARM USE (EFU-TRB) TO MULTIPLE USE AGRICULTURAL (MUA-10)
Yes,Deschutes County,247-ZC131-PL,Zone Change,NNP IV-NCR LLC,1712240000300,"21831 BUTLER MARKET RD BEND, 97701",P,1/29/13,ZONE CHANGE FROM EXCLUSIVE FARM USE (EFU-TRB) TO MULTIPLE USE AGRICULTURAL (MUA-10)
Yes,Deschutes County,247-ZC131-PL,Zone Change,NNP IV-NCR LLC,1712240000301,"21831 BUTLER MARKET RD BEND, 97701",P,1/29/13,ZONE CHANGE FROM EXCLUSIVE FARM USE (EFU-TRB) TO MULTIPLE USE AGRICULTURAL (MUA-10)
Yes,Deschutes County,247-ZC131-PL,Zone Change,NNP IV-NCR LLC,1712240000302,"21831 BUTLER MARKET RD BEND, 97701",P,1/29/13,ZONE CHANGE FROM EXCLUSIVE FARM USE (EFU-TRB) TO MULTIPLE USE AGRICULTURAL (MUA-10)
Yes,Deschutes County,247-ZC131-PL,Zone Change,NNP IV-NCR LLC,1712240000302,"21831 BUTLER MARKET RD BEND, 97701",P,1/29/13,ZONE CHANGE FROM EXCLUSIVE FARM USE (EFU-TRB) TO MULTIPLE USE AGRICULTURAL (MUA-10)
Yes,Deschutes County,247-ZC131-PL,Zone Change,NNP IV-NCR LLC,1712240000304,"21831 BUTLER MARKET RD BEND, 97701",P,1/29/13,ZONE CHANGE FROM EXCLUSIVE FARM USE (EFU-TRB) TO MULTIPLE USE AGRICULTURAL (MUA-10)
Yes,Deschutes County,247-ZC131-PL,Zone Change,NNP IV-NCR LLC,1712240000401,"21831 BUTLER MARKET RD BEND, 97701",P,1/29/13,ZONE CHANGE FROM EXCLUSIVE FARM USE (EFU-TRB) TO MULTIPLE USE AGRICULTURAL (MUA-10)
Yes,Deschutes County,247-ZC131-PL,Zone Change,NNP IV-NCR LLC,1712240000405,"21831 BUTLER MARKET RD BEND, 97701",P,1/29/13,ZONE CHANGE FROM EXCLUSIVE FARM USE (EFU-TRB) TO MULTIPLE USE AGRICULTURAL (MUA-10)
Yes,Deschutes County,247-ZC131-PL,Zone Change,NNP IV-NCR LLC,1712240000406,"21831 BUTLER MARKET RD BEND, 97701",P,1/29/13,ZONE CHANGE FROM EXCLUSIVE FARM USE (EFU-TRB) TO MULTIPLE USE AGRICULTURAL (MUA-10)
Yes,Deschutes County,247-ZC112-PL,Zone Change,OREGON DEPARTMENT OF STATE LANDS (DSL),1812110000100,"61200 27TH ST BEND, 97702",F,10/31/11,ZONE CHANGE FROM EFU-TRB TO MULTIPLE USE AGRICULTURAL (MUA-10)
Yes,Deschutes County,247-ZC112-PL,Zone Change,OREGON DEPARTMENT OF STATE LANDS (DSL),1812110000200,"61200 27TH ST BEND, 97702",F,10/31/11,ZONE CHANGE FROM EFU-TRB TO MULTIPLE USE AGRICULTURAL (MUA-10)
Yes,Deschutes County,247-ZC111-PL,Zone Change,TIMOTHY BENESH,1512090000500,"11150 W HWY 126 REDMOND, 97756",P,6/30/11,ZONE CHANGE FROM EFU TO MUA10 FOR THREE PARCELS
Yes,Deschutes County,247-ZC111-PL,Zone Change,TIMOTHY BENESH,1512090000502,"11150 W HWY 126 REDMOND, 97756",P,6/30/11,ZONE CHANGE FROM EFU TO MUA10 FOR THREE PARCELS
Yes,Deschutes County,247-ZC111-PL,Zone Change,TIMOTHY BENESH,1512090000503,"11150 W HWY 126 REDMOND, 97756",P,6/30/11,ZONE CHANGE FROM EFU TO MUA10 FOR THREE PARCELS
Yes,Deschutes County,247-ZC103-PL,Zone Change,"ROSE & ASSOCIATES, LLC",1812230000200,"21455 RICKARD RD BEND, 97702",P,8/30/10,ZONE CHANGE FROM SM AND EFU TO MUA-10
Yes,Deschutes County,247-ZC103-PL,Zone Change,"ROSE & ASSOCIATES, LLC",1812230000200,"21455 RICKARD RD BEND, 97702",P,8/30/10,ZONE CHANGE FROM SM AND EFU TO MUA-10
Yes,Deschutes County,247-ZC103-PL,Zone Change,"ROSE & ASSOCIATES, LLC",1812230000300,"21455 RICKARD RD BEND, 97702",P,8/30/10,ZONE CHANGE FROM SM AND EFU TO MUA-10
Maybe,Deschutes County,247-ZC071-PL,Zone Change,ALBERT PAGEL AND CYNTHIA SMITH-PAGEL,1512250000400,"67406 CLINE FALLS RD REDMOND, 97756",F,4/18/07,ZONE CHANGE
